Age, Workclass, Education, Years of Education, Marital Status, Occupation, Relationship, Race, Sex, Hours Work per Week, Income
22,7,16,10,3, Other-service, Husband, Black, Male,15,0
48,4,2,7,5, Machine-op-inspct, Unmarried, White, Male,40,0
21,4,16,10,5, Machine-op-inspct, Own-child, White, Male,40,0
19,4,12,9,2, Adm-clerical, Wife, White, Female,25,0
31,4,16,10,3, Sales, Husband, White, Male,38,1
48,6,8,12,3, Prof-specialty, Husband, White, Male,40,0
31,4,7,5,3, Machine-op-inspct, Husband, White, Male,43,0
53,6,10,13,3, Prof-specialty, Husband, White, Male,40,0
24,4,10,13,3, Tech-support, Husband, White, Male,50,0
49,4,12,9,6, Adm-clerical, Unmarried, White, Female,40,0
25,4,12,9,5, Handlers-cleaners, Not-in-family, White, Male,35,0
57,1,10,13,3, Prof-specialty, Husband, Black, Male,40,1
53,4,12,9,3, Machine-op-inspct, Husband, White, Male,38,0
44,4,13,14,1, Exec-managerial, Unmarried, White, Female,40,0
41,7,9,11,3, Craft-repair, Husband, White, Male,40,0
29,4,9,11,5, Prof-specialty, Not-in-family, White, Male,43,0
25,4,16,10,3, Exec-managerial, Wife, Other, Female,40,0
18,4,12,9,5, Other-service, Own-child, White, Female,30,0
47,4,15,15,3, Prof-specialty, Wife, White, Female,60,1
50,1,10,13,1, Exec-managerial, Not-in-family, White, Male,55,1
47,5,12,9,1, Exec-managerial, Not-in-family, White, Male,60,0
43,4,16,10,3, Tech-support, Husband, White, Male,40,1
46,4,5,3,3, Machine-op-inspct, Husband, White, Male,40,0
35,4,9,11,3, Other-service, Husband, White, Male,40,0
41,4,12,9,3, Adm-clerical, Husband, White, Male,48,0
30,4,12,9,3, Machine-op-inspct, Husband, White, Male,40,0
30,4,10,13,3, Sales, Husband, White, Male,40,0
48,4,12,9,3, Transport-moving, Husband, White, Male,40,0
42,4,11,16,3, Prof-specialty, Husband, White, Male,45,1
29,4,16,10,1, Tech-support, Not-in-family, White, Male,58,0
36,4,12,9,3, Craft-repair, Husband, White, Male,40,0
28,4,16,10,1, Adm-clerical, Not-in-family, White, Female,40,0
53,4,12,9,3, Adm-clerical, Wife, White, Female,40,1
49,5,16,10,3, Exec-managerial, Husband, White, Male,50,1
19,4,16,10,5, Prof-specialty, Own-child, White, Male,32,0
31,4,10,13,6, Sales, Own-child, Black, Female,40,0
29,6,10,13,3, Sales, Husband, White, Male,70,1
23,4,16,10,5, Machine-op-inspct, Not-in-family, White, Male,40,0
79,4,16,10,3, Prof-specialty, Other-relative, White, Male,20,0
27,4,12,9,5, Other-service, Own-child, White, Male,40,0
40,4,8,12,3, Adm-clerical, Husband, White, Male,40,0
18,4,2,7,5, Other-service, Own-child, White, Female,22,0
31,2,6,4,3, Farming-fishing, Husband, White, Male,40,0
18,4,12,9,5, Sales, Not-in-family, White, Male,30,0
52,4,10,13,3, Other-service, Husband, White, Male,40,0
46,4,12,9,3, Other-service, Wife, White, Female,40,0
59,4,12,9,3, Sales, Husband, White, Male,48,0
44,4,12,9,1, Craft-repair, Not-in-family, White, Female,40,1
53,4,12,9,1, Sales, Own-child, White, Female,35,0
49,2,12,9,3, Protective-serv, Husband, White, Male,40,1
33,4,13,14,3, Prof-specialty, Husband, White, Male,50,0
30,4,7,5,5, Sales, Not-in-family, White, Male,40,0
43,1,11,16,5, Prof-specialty, Not-in-family, White, Female,50,1
57,4,9,11,3, Prof-specialty, Husband, White, Male,40,0
37,4,16,10,1, Craft-repair, Unmarried, White, Female,40,0
28,4,16,10,1, Machine-op-inspct, Unmarried, Black, Female,25,0
30,4,12,9,3, Sales, Wife, Asian-Pac-Islander, Female,35,0
34,2,10,13,3, Protective-serv, Husband, White, Male,40,1
29,2,16,10,5, Handlers-cleaners, Not-in-family, White, Male,50,0
48,6,11,16,3, Prof-specialty, Husband, White, Male,60,1
37,4,16,10,3, Sales, Husband, White, Male,48,1
48,4,8,12,1, Exec-managerial, Unmarried, White, Female,40,0
32,1,12,9,5, Other-service, Own-child, Black, Male,40,0
76,4,13,14,3, Exec-managerial, Husband, White, Male,40,1
44,4,10,13,3, Exec-managerial, Husband, White, Male,60,1
47,6,13,14,5, Prof-specialty, Not-in-family, White, Female,50,0
20,4,16,10,5, Tech-support, Own-child, White, Female,40,0
29,4,12,9,5, Craft-repair, Not-in-family, White, Male,40,0
32,5,12,9,3, Craft-repair, Husband, White, Male,40,1
30,4,2,7,5, Handlers-cleaners, Own-child, White, Male,40,0
31,2,12,9,5, Adm-clerical, Not-in-family, White, Female,40,0
42,4,12,9,3, Handlers-cleaners, Husband, White, Male,40,0
24,4,10,13,5, Sales, Other-relative, White, Male,40,0
38,4,15,15,3, Prof-specialty, Husband, White, Male,40,1
56,6,12,9,3, Other-service, Husband, White, Male,50,1
28,4,16,10,3, Sales, Wife, White, Female,25,0
36,4,12,9,5, Machine-op-inspct, Own-child, White, Female,40,0
53,4,7,5,3, Handlers-cleaners, Husband, White, Male,50,0
56,5,16,10,3, Sales, Husband, White, Male,50,0
49,2,9,11,3, Craft-repair, Husband, Black, Male,40,1
55,4,16,10,3, Sales, Husband, White, Male,56,0
22,4,12,9,5, Craft-repair, Not-in-family, White, Male,41,0
21,4,16,10,5, Other-service, Own-child, White, Female,40,0
40,4,10,13,3, Exec-managerial, Husband, White, Male,60,0
30,4,10,13,5, Exec-managerial, Own-child, Black, Male,40,0
29,7,10,13,3, Prof-specialty, Husband, White, Male,50,1
19,4,16,10,5, Other-service, Own-child, Black, Male,35,0
47,4,10,13,3, Exec-managerial, Wife, White, Female,40,1
20,4,16,10,5, Adm-clerical, Own-child, White, Female,28,0
31,4,8,12,3, Adm-clerical, Husband, White, Male,40,1
39,4,16,10,1, Craft-repair, Not-in-family, White, Male,40,0
28,4,8,12,5, Sales, Not-in-family, White, Female,60,0
24,4,12,9,5, Other-service, Not-in-family, White, Female,40,0
38,6,12,9,3, Craft-repair, Husband, White, Male,35,0
37,4,10,13,3, Sales, Husband, White, Male,50,0
46,4,8,12,1, Tech-support, Not-in-family, Black, Female,36,0
38,1,13,14,3, Prof-specialty, Husband, White, Male,40,1
43,6,12,9,3, Craft-repair, Husband, White, Male,60,0
27,4,9,11,3, Adm-clerical, Wife, White, Female,35,0
20,4,16,10,5, Sales, Own-child, White, Male,20,0
49,4,16,10,3, Craft-repair, Husband, Asian-Pac-Islander, Male,40,1
61,5,12,9,3, Craft-repair, Husband, White, Male,40,0
27,4,16,10,5, Sales, Own-child, White, Female,40,0
19,4,16,10,5, Other-service, Own-child, White, Male,30,0
45,4,9,11,5, Prof-specialty, Not-in-family, White, Female,40,1
70,4,16,10,5, Tech-support, Other-relative, White, Male,40,0
31,4,12,9,5, Transport-moving, Unmarried, Black, Female,30,0
22,4,16,10,3, Other-service, Husband, White, Male,24,0
36,4,12,9,7, Other-service, Unmarried, White, Female,24,0
64,4,2,7,3, Craft-repair, Husband, White, Male,40,0
47,2,16,10,1, Adm-clerical, Unmarried, White, Female,38,0
34,4,12,9,5, Adm-clerical, Not-in-family, White, Female,40,0
33,4,10,13,5, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40,0
21,4,12,9,5, Craft-repair, Own-child, White, Male,35,0
48,4,12,9,3, Craft-repair, Husband, White, Male,46,0
23,4,10,13,5, Handlers-cleaners, Not-in-family, White, Male,40,0
71,6,16,10,6, Sales, Unmarried, Black, Male,2,0
29,4,12,9,1, Craft-repair, Not-in-family, White, Male,60,0
42,4,10,13,6, Other-service, Other-relative, Black, Male,50,0
25,4,12,9,5, Other-service, Unmarried, White, Female,40,0
44,5,13,14,1, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40,0
28,4,12,9,5, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40,0
45,6,13,14,3, Sales, Husband, White, Male,40,1
36,4,16,10,1, Other-service, Unmarried, White, Female,40,0
39,1,8,12,5, Exec-managerial, Not-in-family, White, Male,42,0
46,7,13,14,7, Protective-serv, Unmarried, White, Male,40,0
18,4,2,7,5, Handlers-cleaners, Own-child, White, Male,16,0
66,2,9,11,7, Prof-specialty, Not-in-family, White, Female,20,0
27,4,12,9,5, Other-service, Not-in-family, White, Male,40,0
28,7,12,9,3, Protective-serv, Husband, White, Male,40,0
51,4,16,10,3, Sales, Husband, White, Male,40,1
27,4,10,13,5, Craft-repair, Not-in-family, White, Male,50,0
28,7,10,13,3, Prof-specialty, Husband, White, Male,40,1
27,4,12,9,4, Sales, Unmarried, White, Female,25,0
21,4,12,9,5, Craft-repair, Own-child, Black, Male,40,0
34,4,12,9,5, Handlers-cleaners, Not-in-family, Black, Male,40,0
18,4,12,9,5, Other-service, Own-child, White, Male,12,0
33,4,10,13,3, Prof-specialty, Husband, White, Male,65,0
44,2,16,10,3, Exec-managerial, Husband, Black, Male,38,1
43,4,16,10,1, Adm-clerical, Not-in-family, White, Female,40,0
30,4,16,10,5, Craft-repair, Not-in-family, Black, Male,45,0
40,4,6,4,3, Machine-op-inspct, Husband, White, Male,40,1
37,1,16,10,3, Adm-clerical, Husband, White, Male,42,1
34,4,12,9,3, Adm-clerical, Husband, Black, Male,40,0
41,6,10,13,1, Exec-managerial, Not-in-family, White, Female,40,0
31,4,13,14,3, Prof-specialty, Wife, White, Female,50,0
58,7,11,16,3, Prof-specialty, Husband, White, Male,1,1
38,4,16,10,1, Machine-op-inspct, Not-in-family, Black, Female,28,0
24,4,16,10,3, Machine-op-inspct, Husband, White, Male,40,0
41,2,10,13,3, Craft-repair, Husband, Black, Male,40,0
47,4,16,10,3, Tech-support, Husband, White, Male,45,0
41,1,10,13,3, Tech-support, Husband, White, Male,24,0
23,4,5,3,3, Transport-moving, Other-relative, White, Male,40,0
36,4,16,10,1, Craft-repair, Not-in-family, White, Male,40,0
40,1,13,14,5, Exec-managerial, Not-in-family, White, Female,55,1
35,4,13,14,3, Prof-specialty, Other-relative, White, Male,40,1
24,6,12,9,5, Sales, Not-in-family, White, Male,40,0
26,4,13,14,5, Prof-specialty, Not-in-family, White, Female,40,0
51,4,10,13,3, Exec-managerial, Husband, White, Male,50,1
42,2,16,10,5, Prof-specialty, Not-in-family, White, Female,40,0
37,7,12,9,1, Adm-clerical, Unmarried, White, Female,35,0
18,4,2,7,5, Sales, Own-child, White, Female,40,0
36,4,10,13,3, Other-service, Husband, Black, Male,36,1
35,4,12,9,1, Craft-repair, Not-in-family, White, Male,60,0
58,5,12,9,3, Sales, Wife, White, Female,35,1
17,4,2,7,5, Sales, Own-child, White, Female,12,0
44,2,12,9,3, Transport-moving, Husband, Black, Male,40,0
37,4,12,9,3, Craft-repair, Husband, White, Male,40,1
35,4,16,10,5, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40,0
60,4,12,9,3, Craft-repair, Husband, Asian-Pac-Islander, Male,40,0
54,5,6,4,3, Machine-op-inspct, Husband, White, Male,40,1
37,4,10,13,5, Exec-managerial, Not-in-family, Black, Male,60,1
50,4,8,12,1, Sales, Not-in-family, White, Female,40,0
38,4,10,13,3, Sales, Husband, White, Male,50,0
45,4,10,13,3, Prof-specialty, Husband, White, Male,55,0
25,4,1,6,5, Craft-repair, Not-in-family, White, Male,40,0
31,4,16,10,3, Handlers-cleaners, Husband, White, Male,40,0
90,4,12,9,5, Other-service, Not-in-family, Black, Male,40,0
54,4,12,9,3, Adm-clerical, Husband, Black, Male,20,0
53,2,14,1,5, Machine-op-inspct, Not-in-family, White, Female,35,0
18,4,12,9,5, Sales, Own-child, White, Female,40,0
66,6,12,9,3, Farming-fishing, Husband, White, Male,50,0
75,4,9,11,7, Adm-clerical, Not-in-family, White, Female,20,0
65,4,12,9,1, Adm-clerical, Not-in-family, White, Female,40,0
35,4,2,7,6, Transport-moving, Not-in-family, Black, Male,40,0
41,4,12,9,1, Sales, Unmarried, Black, Female,38,0
25,4,16,10,5, Adm-clerical, Not-in-family, White, Male,42,0
33,4,16,10,1, Craft-repair, Other-relative, Other, Female,40,0
28,4,15,15,5, Prof-specialty, Not-in-family, White, Male,55,1
59,7,12,9,3, Other-service, Husband, White, Male,40,0
40,7,16,10,5, Adm-clerical, Not-in-family, White, Female,38,0
41,4,10,13,3, Exec-managerial, Husband, White, Male,50,1
38,2,13,14,3, Exec-managerial, Husband, White, Male,70,1
23,4,12,9,5, Transport-moving, Own-child, White, Male,40,0
40,4,10,13,3, Prof-specialty, Husband, White, Male,40,1
41,6,12,9,3, Other-service, Wife, White, Female,20,0
24,7,8,12,3, Protective-serv, Husband, White, Male,50,0
38,4,16,10,1, Craft-repair, Not-in-family, White, Male,40,0
56,4,12,9,3, Adm-clerical, Husband, White, Male,35,0
58,4,12,9,3, Adm-clerical, Husband, White, Male,45,1
32,4,12,9,5, Other-service, Not-in-family, White, Female,34,0
40,4,8,12,3, Tech-support, Husband, White, Male,60,1
45,4,12,9,3, Adm-clerical, Husband, White, Male,40,0
41,4,15,15,3, Prof-specialty, Wife, White, Female,40,1
42,4,10,13,3, Adm-clerical, Wife, Black, Female,40,0
59,2,1,6,7, Other-service, Unmarried, Black, Female,30,0
19,2,16,10,5, Adm-clerical, Own-child, White, Male,40,0
58,4,16,10,5, Transport-moving, Not-in-family, White, Male,20,0
42,6,12,9,3, Farming-fishing, Husband, Asian-Pac-Islander, Male,40,1
20,4,12,9,5, Other-service, Own-child, White, Female,40,0
32,4,12,9,6, Other-service, Not-in-family, White, Female,30,0
45,4,9,11,7, Exec-managerial, Not-in-family, White, Female,45,0
50,4,6,4,1, Craft-repair, Not-in-family, White, Male,40,0
36,4,10,13,1, Prof-specialty, Own-child, White, Female,40,0
45,4,12,9,3, Sales, Husband, White, Male,60,0
17,4,2,7,5, Other-service, Own-child, White, Male,12,0
59,4,16,10,3, Sales, Husband, White, Male,40,0
26,4,2,7,3, Craft-repair, Husband, White, Male,40,0
37,5,16,10,3, Exec-managerial, Husband, Asian-Pac-Islander, Male,75,1
64,4,12,9,3, Exec-managerial, Husband, White, Male,40,1
33,4,10,13,5, Prof-specialty, Not-in-family, White, Female,45,0
33,4,12,9,3, Craft-repair, Wife, White, Female,40,1
61,4,12,9,3, Exec-managerial, Husband, White, Male,40,1
17,4,7,5,5, Other-service, Own-child, White, Male,24,0
50,6,13,14,3, Farming-fishing, Husband, White, Male,98,0
27,2,13,14,5, Prof-specialty, Own-child, White, Male,35,0
30,4,12,9,1, Prof-specialty, Own-child, White, Female,40,0
43,4,12,9,3, Handlers-cleaners, Husband, Black, Male,40,0
44,4,16,10,3, Craft-repair, Husband, White, Male,40,1
35,4,16,10,5, Exec-managerial, Not-in-family, White, Female,40,0
25,4,16,10,5, Tech-support, Own-child, White, Female,40,0
24,4,16,10,3, Machine-op-inspct, Wife, White, Female,48,1
22,4,10,13,5, Prof-specialty, Not-in-family, White, Female,15,0
42,2,16,10,3, Craft-repair, Husband, White, Male,40,1
34,4,8,12,1, Sales, Unmarried, Black, Female,45,0
60,4,10,13,1, Prof-specialty, Not-in-family, White, Female,42,0
21,4,12,9,5, Handlers-cleaners, Own-child, White, Male,40,0
57,1,13,14,3, Sales, Husband, White, Male,40,1
41,4,15,15,3, Prof-specialty, Husband, White, Male,60,1
50,4,16,10,1, Other-service, Not-in-family, White, Male,45,0
25,4,10,13,5, Exec-managerial, Not-in-family, White, Female,40,0
50,4,6,4,3, Craft-repair, Husband, White, Male,40,0
36,4,10,13,3, Prof-specialty, Husband, White, Male,45,0
31,4,12,9,1, Prof-specialty, Not-in-family, White, Female,40,0
29,2,10,13,5, Protective-serv, Not-in-family, White, Male,56,0
21,4,16,10,5, Sales, Own-child, White, Male,45,0
27,4,10,13,5, Tech-support, Unmarried, Black, Female,40,0
65,4,12,9,3, Transport-moving, Husband, White, Male,16,0
37,5,10,13,1, Sales, Not-in-family, White, Female,60,0
24,4,12,9,5, Craft-repair, Own-child, White, Male,40,0
38,4,12,9,1, Sales, Not-in-family, White, Male,80,0
48,4,10,13,3, Adm-clerical, Husband, White, Male,40,1
21,4,16,10,5, Other-service, Not-in-family, Asian-Pac-Islander, Female,25,0
31,4,12,9,3, Transport-moving, Husband, White, Male,45,1
55,4,12,9,3, Sales, Husband, White, Male,40,1
24,4,16,10,3, Adm-clerical, Wife, Asian-Pac-Islander, Female,40,0
43,4,12,9,1, Adm-clerical, Not-in-family, White, Female,40,0
26,4,8,12,5, Tech-support, Not-in-family, White, Male,45,0
46,4,8,12,5, Prof-specialty, Not-in-family, White, Female,33,0
35,4,8,12,3, Adm-clerical, Husband, White, Male,40,1
41,5,16,10,3, Farming-fishing, Husband, White, Male,54,1
26,4,10,13,5, Sales, Not-in-family, White, Male,40,0
34,4,13,14,3, Exec-managerial, Husband, Asian-Pac-Islander, Male,35,1
36,6,10,13,1, Prof-specialty, Not-in-family, Black, Female,40,1
22,4,16,10,5, Sales, Own-child, White, Male,15,0
24,4,16,10,5, Machine-op-inspct, Not-in-family, White, Male,40,0
77,6,16,10,3, Sales, Husband, White, Male,40,0
22,4,5,3,3, Machine-op-inspct, Other-relative, White, Female,40,0
29,4,16,10,5, Tech-support, Not-in-family, White, Female,40,0
62,4,12,9,7, Other-service, Not-in-family, White, Female,24,0
39,6,12,9,3, Exec-managerial, Husband, White, Male,40,0
43,4,16,10,3, Craft-repair, Husband, White, Male,50,0
35,4,12,9,1, Transport-moving, Not-in-family, White, Male,45,0
29,4,2,7,5, Exec-managerial, Not-in-family, White, Female,40,0
76,6,13,14,3, Craft-repair, Husband, White, Male,10,0
63,6,12,9,3, Farming-fishing, Husband, White, Male,45,0
43,4,16,10,3, Prof-specialty, Wife, White, Female,50,1
58,6,12,9,3, Handlers-cleaners, Husband, White, Male,40,0
66,4,12,9,5, Transport-moving, Not-in-family, White, Male,55,0
41,4,16,10,5, Craft-repair, Not-in-family, Black, Male,45,0
26,4,10,13,5, Adm-clerical, Not-in-family, White, Male,40,0
47,4,9,11,5, Other-service, Not-in-family, White, Male,40,0
55,2,1,6,3, Adm-clerical, Husband, White, Male,40,0
53,4,12,9,3, Transport-moving, Husband, White, Male,40,0
17,4,5,3,5, Other-service, Other-relative, White, Male,48,0
30,4,12,9,5, Craft-repair, Other-relative, White, Male,40,0
49,4,13,14,5, Prof-specialty, Not-in-family, White, Male,60,0
19,4,12,9,5, Sales, Unmarried, Black, Male,30,0
45,4,12,9,3, Other-service, Husband, Black, Male,40,0
26,4,8,12,5, Sales, Not-in-family, White, Male,40,0
38,4,9,11,3, Craft-repair, Husband, White, Male,40,1
36,7,12,9,3, Protective-serv, Husband, White, Male,40,1
33,4,12,9,5, Farming-fishing, Not-in-family, White, Male,20,0
22,7,16,10,5, Protective-serv, Own-child, Black, Female,40,0
43,6,10,13,5, Sales, Not-in-family, White, Male,42,0
56,4,8,12,4, Other-service, Not-in-family, White, Male,25,0
31,4,10,13,5, Prof-specialty, Own-child, White, Male,25,0
33,4,10,13,3, Exec-managerial, Husband, White, Male,40,1
26,4,12,9,3, Other-service, Husband, White, Male,40,0
33,4,10,13,3, Exec-managerial, Husband, White, Male,40,1
46,2,2,7,3, Transport-moving, Husband, White, Male,30,0
38,1,12,9,3, Adm-clerical, Husband, White, Male,40,1
65,4,2,7,7, Other-service, Unmarried, Other, Male,40,0
40,4,9,11,3, Tech-support, Husband, White, Male,40,1
42,4,12,9,3, Adm-clerical, Wife, White, Female,35,0
26,6,7,5,3, Craft-repair, Husband, White, Male,40,0
36,4,1,6,3, Other-service, Wife, White, Female,24,0
62,4,13,14,3, Prof-specialty, Husband, White, Male,40,1
43,4,10,13,3, Transport-moving, Husband, White, Male,45,0
43,4,10,13,1, Exec-managerial, Not-in-family, White, Male,45,1
22,4,12,9,4, Sales, Not-in-family, White, Male,55,0
28,4,12,9,3, Craft-repair, Husband, White, Male,40,0
56,6,16,10,3, Sales, Husband, White, Male,45,0
22,4,8,12,5, Sales, Not-in-family, White, Female,15,0
57,4,10,13,1, Exec-managerial, Not-in-family, White, Female,45,1
39,4,12,9,1, Sales, Unmarried, White, Female,40,0
26,1,16,10,5, Adm-clerical, Unmarried, White, Female,15,0
17,4,2,7,5, Other-service, Own-child, White, Male,10,0
40,7,9,11,3, Machine-op-inspct, Husband, White, Male,38,1
45,4,12,9,3, Machine-op-inspct, Husband, Black, Male,40,0
44,4,12,9,5, Craft-repair, Not-in-family, Black, Male,40,0
20,2,16,10,5, Adm-clerical, Own-child, White, Female,10,0
33,4,12,9,3, Craft-repair, Wife, White, Female,40,0
23,4,16,10,5, Sales, Not-in-family, White, Male,40,0
46,6,13,14,1, Exec-managerial, Not-in-family, White, Male,30,0
38,4,12,9,3, Sales, Husband, White, Male,50,0
54,4,12,9,1, Transport-moving, Not-in-family, White, Male,40,0
46,4,5,3,1, Craft-repair, Not-in-family, White, Female,45,0
25,4,16,10,3, Craft-repair, Husband, White, Male,40,0
46,4,16,10,1, Sales, Not-in-family, White, Female,40,0
36,2,16,10,3, Transport-moving, Wife, White, Female,40,0
23,4,12,9,5, Other-service, Not-in-family, White, Female,25,0
29,4,12,9,6, Machine-op-inspct, Not-in-family, White, Male,40,0
44,4,16,10,3, Adm-clerical, Wife, White, Female,6,1
19,4,16,10,5, Adm-clerical, Own-child, White, Female,16,0
19,4,12,9,5, Other-service, Other-relative, White, Female,40,0
35,4,12,9,3, Other-service, Wife, White, Female,40,1
27,4,10,13,5, Craft-repair, Not-in-family, White, Male,50,0
46,6,8,12,6, Craft-repair, Not-in-family, White, Male,40,0
34,7,10,13,3, Exec-managerial, Husband, White, Male,45,1
34,4,12,9,5, Other-service, Not-in-family, White, Female,35,0
44,4,16,10,3, Tech-support, Husband, White, Male,40,0
45,4,16,10,1, Handlers-cleaners, Unmarried, White, Female,40,0
25,4,10,13,3, Exec-managerial, Husband, White, Male,55,1
52,5,10,13,3, Exec-managerial, Husband, White, Male,50,1
20,4,16,10,5, Handlers-cleaners, Own-child, White, Male,40,0
28,4,16,10,5, Other-service, Not-in-family, White, Female,40,0
50,7,10,13,3, Protective-serv, Husband, White, Male,40,1
34,4,9,11,1, Tech-support, Not-in-family, White, Female,64,0
28,4,6,4,3, Handlers-cleaners, Husband, Other, Male,40,0
41,4,13,14,3, Exec-managerial, Husband, White, Male,65,1
28,4,12,9,3, Adm-clerical, Husband, White, Male,40,0
46,6,12,9,3, Craft-repair, Husband, White, Male,25,0
32,4,16,10,3, Exec-managerial, Husband, White, Male,50,0
41,2,16,10,1, Other-service, Not-in-family, Black, Female,24,0
24,4,12,9,5, Handlers-cleaners, Unmarried, Black, Female,40,0
33,4,16,10,1, Exec-managerial, Unmarried, White, Female,40,0
46,4,11,16,3, Exec-managerial, Husband, White, Male,60,1
31,7,16,10,3, Machine-op-inspct, Husband, White, Male,40,0
35,4,3,8,1, Craft-repair, Not-in-family, White, Male,50,1
52,4,4,2,3, Machine-op-inspct, Husband, White, Male,40,0
30,4,2,7,5, Other-service, Own-child, White, Female,19,0
34,2,2,7,6, Machine-op-inspct, Not-in-family, Black, Male,40,0
34,7,12,9,1, Transport-moving, Unmarried, White, Female,40,0
20,4,16,10,3, Sales, Husband, White, Male,30,0
17,4,2,7,5, Handlers-cleaners, Own-child, White, Male,18,0
32,7,10,13,3, Exec-managerial, Wife, White, Female,40,1
29,4,12,9,1, Farming-fishing, Not-in-family, White, Male,40,0
33,4,1,6,5, Craft-repair, Unmarried, White, Female,35,0
25,4,12,9,3, Transport-moving, Husband, White, Male,60,0
36,1,13,14,5, Prof-specialty, Not-in-family, White, Male,40,0
23,4,12,9,5, Handlers-cleaners, Not-in-family, White, Male,72,0
63,5,12,9,3, Exec-managerial, Husband, White, Male,40,1
47,2,13,14,3, Prof-specialty, Husband, White, Male,40,0
40,6,10,13,4, Prof-specialty, Not-in-family, White, Female,40,0
30,4,8,12,3, Other-service, Wife, White, Female,25,1
27,4,16,10,5, Craft-repair, Own-child, Asian-Pac-Islander, Male,40,0
33,4,13,14,3, Prof-specialty, Husband, White, Male,50,1
34,2,12,9,5, Farming-fishing, Not-in-family, Black, Male,60,0
34,2,16,10,5, Protective-serv, Not-in-family, White, Female,40,0
23,4,16,10,3, Adm-clerical, Husband, White, Male,40,0
42,2,16,10,3, Adm-clerical, Wife, White, Female,40,0
29,4,10,13,5, Prof-specialty, Not-in-family, White, Male,40,0
45,4,12,9,1, Adm-clerical, Not-in-family, White, Female,28,0
24,1,12,9,5, Armed-Forces, Own-child, White, Male,40,0
44,4,16,10,3, Prof-specialty, Husband, White, Male,40,1
27,4,7,5,5, Craft-repair, Other-relative, White, Male,40,0
20,4,16,10,5, Sales, Not-in-family, White, Male,35,0
44,4,12,9,7, Exec-managerial, Unmarried, Black, Female,40,0
51,4,12,9,3, Craft-repair, Husband, Amer-Indian-Eskimo, Male,40,0
20,4,12,9,3, Machine-op-inspct, Husband, White, Male,40,0
19,4,12,9,5, Machine-op-inspct, Own-child, Black, Female,40,0
45,5,16,10,3, Craft-repair, Husband, White, Male,55,1
60,4,12,9,3, Craft-repair, Husband, White, Male,40,1
42,4,8,12,3, Exec-managerial, Husband, Black, Male,40,1
44,6,12,9,3, Sales, Wife, White, Female,40,1
40,4,9,11,3, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,40,1
30,4,12,9,3, Exec-managerial, Wife, White, Female,40,0
38,4,16,10,3, Transport-moving, Husband, Black, Male,50,0
23,4,12,9,3, Transport-moving, Husband, White, Male,60,0
44,4,8,12,5, Farming-fishing, Own-child, White, Male,40,0
54,2,12,9,3, Transport-moving, Husband, Black, Male,40,0
32,4,10,13,3, Prof-specialty, Husband, White, Male,50,0
50,4,4,2,4, Craft-repair, Unmarried, White, Male,40,0
