Age, Workclass, Years of Education, Occupation, Relationship, Race, Sex, Hours Work per Week, Income
48,6,16,10,2,2,0,60,1
37,4,10,12,2,2,0,48,1
48,4,12,4,2,2,1,40,0
32,1,9,8,1,1,0,40,0
76,4,14,4,2,2,0,40,1
44,4,13,4,2,2,0,60,1
47,6,14,10,2,2,1,50,0
20,4,10,13,2,2,1,40,0
29,4,9,3,2,2,0,40,0
32,5,9,3,2,2,0,40,1
30,4,7,6,2,2,0,40,0
31,2,9,1,2,2,1,40,0
42,4,9,6,2,2,0,40,0
24,4,13,12,2,2,0,40,0
38,4,15,10,2,2,0,40,1
56,6,9,8,2,2,0,50,1
28,4,10,12,2,2,1,25,0
36,4,9,7,2,2,1,40,0
53,4,5,6,2,2,0,50,0
56,5,10,12,2,2,0,50,0
49,2,11,3,1,1,0,40,1
55,4,10,12,2,2,0,56,0
22,4,9,3,2,2,0,41,0
21,4,10,8,2,2,1,40,0
40,4,13,4,2,2,0,60,0
30,4,13,4,1,1,0,40,0
29,7,13,10,2,2,0,50,1
19,4,10,8,1,1,0,35,0
47,4,13,4,2,2,1,40,1
20,4,10,1,2,2,1,28,0
31,4,12,1,2,2,0,40,1
39,4,10,3,2,2,0,40,0
28,4,12,12,2,2,1,60,0
24,4,9,8,2,2,1,40,0
38,6,9,3,2,2,0,35,0
37,4,13,12,2,2,0,50,0
46,4,12,13,1,1,1,36,0
38,1,14,10,2,2,0,40,1
43,6,9,3,2,2,0,60,0
27,4,11,1,2,2,1,35,0
20,4,10,12,2,2,0,20,0
49,4,10,3,4,4,0,40,1
61,5,9,3,2,2,0,40,0
27,4,10,12,2,2,1,40,0
19,4,10,8,2,2,0,30,0
45,4,11,10,2,2,1,40,1
70,4,10,13,2,2,0,40,0
31,4,9,14,1,1,1,30,0
22,4,10,8,2,2,0,24,0
36,4,9,8,2,2,1,24,0
64,4,7,3,2,2,0,40,0
47,2,10,1,2,2,1,38,0
34,4,9,1,2,2,1,40,0
33,4,13,4,4,4,1,40,0
21,4,9,3,2,2,0,35,0
48,4,9,3,2,2,0,46,0
23,4,13,6,2,2,0,40,0
71,6,10,12,1,1,0,2,0
29,4,9,3,2,2,0,60,0
42,4,13,8,1,1,0,50,0
25,4,9,8,2,2,1,40,0
44,5,14,4,4,4,1,40,0
28,4,9,4,4,4,1,40,0
45,6,14,12,2,2,0,40,1
36,4,10,8,2,2,1,40,0
39,1,12,4,2,2,0,42,0
46,7,14,11,2,2,0,40,0
18,4,7,6,2,2,0,16,0
66,2,11,10,2,2,1,20,0
27,4,9,8,2,2,0,40,0
28,7,9,11,2,2,0,40,0
51,4,10,12,2,2,0,40,1
27,4,13,3,2,2,0,50,0
28,7,13,10,2,2,0,40,1
27,4,9,12,2,2,1,25,0
21,4,9,3,1,1,0,40,0
34,4,9,6,1,1,0,40,0
18,4,9,8,2,2,0,12,0
33,4,13,10,2,2,0,65,0
44,2,10,4,1,1,0,38,1
43,4,10,1,2,2,1,40,0
30,4,10,3,1,1,0,45,0
40,4,4,7,2,2,0,40,1
37,1,10,1,2,2,0,42,1
34,4,9,1,1,1,0,40,0
41,6,13,4,2,2,1,40,0
31,4,14,10,2,2,1,50,0
58,7,16,10,2,2,0,1,1
38,4,10,7,1,1,1,28,0
24,4,10,7,2,2,0,40,0
41,2,13,3,1,1,0,40,0
47,4,10,13,2,2,0,45,0
41,1,13,13,2,2,0,24,0
23,4,3,14,2,2,0,40,0
36,4,10,3,2,2,0,40,0
40,1,14,4,2,2,1,55,1
35,4,14,10,2,2,0,40,1
24,6,9,12,2,2,0,40,0
26,4,14,10,2,2,1,40,0
51,4,13,4,2,2,0,50,1
42,2,10,10,2,2,1,40,0
37,7,9,1,2,2,1,35,0
18,4,7,12,2,2,1,40,0
36,4,13,8,1,1,0,36,1
35,4,9,3,2,2,0,60,0
58,5,9,12,2,2,1,35,1
17,4,7,12,2,2,1,12,0
44,2,9,14,1,1,0,40,0
37,4,9,3,2,2,0,40,1
35,4,10,12,3,3,1,40,0
60,4,9,3,4,4,0,40,0
54,5,4,7,2,2,0,40,1
37,4,13,4,1,1,0,60,1
50,4,12,12,2,2,1,40,0
38,4,13,12,2,2,0,50,0
45,4,13,10,2,2,0,55,0
25,4,6,3,2,2,0,40,0
31,4,10,6,2,2,0,40,0
90,4,9,8,1,1,0,40,0
54,4,9,1,1,1,0,20,0
53,2,1,7,2,2,1,35,0
18,4,9,12,2,2,1,40,0
66,6,9,5,2,2,0,50,0
75,4,11,1,2,2,1,20,0
65,4,9,1,2,2,1,40,0
35,4,7,14,1,1,0,40,0
41,4,9,12,1,1,1,38,0
25,4,10,1,2,2,0,42,0
33,4,10,3,3,2,1,40,0
28,4,15,10,2,2,0,55,1
59,7,9,8,2,2,0,40,0
40,7,10,1,2,2,1,38,0
41,4,13,4,2,2,0,50,1
38,2,14,4,2,2,0,70,1
23,4,9,14,2,2,0,40,0
40,4,13,10,2,2,0,40,1
41,6,9,8,2,2,1,20,0
24,7,12,11,2,2,0,50,0
38,4,10,3,2,2,0,40,0
56,4,9,1,2,2,0,35,0
58,4,9,1,2,2,0,45,1
32,4,9,8,2,2,1,34,0
40,4,12,13,2,2,0,60,1
45,4,9,1,2,2,0,40,0
41,4,15,10,2,2,1,40,1
42,4,13,1,1,1,1,40,0
59,2,6,8,1,1,1,30,0
19,2,10,1,2,2,0,40,0
58,4,10,14,2,2,0,20,0
42,6,9,5,4,4,0,40,1
20,4,9,8,2,2,1,40,0
32,4,9,8,2,2,1,30,0
45,4,11,4,2,2,1,45,0
50,4,4,3,2,2,0,40,0
36,4,13,10,2,2,1,40,0
45,4,9,12,2,2,0,60,0
17,4,7,8,2,2,0,12,0
59,4,10,12,2,2,0,40,0
26,4,7,3,2,2,0,40,0
37,5,10,4,4,4,0,75,1
64,4,9,4,2,2,0,40,1
33,4,13,10,2,2,1,45,0
33,4,9,3,2,2,1,40,1
61,4,9,4,2,2,0,40,1
17,4,5,8,2,2,0,24,0
50,6,14,5,2,2,0,98,0
27,2,14,10,2,2,0,35,0
30,4,9,10,2,2,1,40,0
43,4,9,6,1,1,0,40,0
44,4,10,3,2,2,0,40,1
35,4,10,4,2,2,1,40,0
25,4,10,13,2,2,1,40,0
24,4,10,7,2,2,1,48,1
22,4,13,10,2,2,1,15,0
42,2,10,3,2,2,0,40,1
34,4,12,12,1,1,1,45,0
60,4,13,10,2,2,1,42,0
21,4,9,6,2,2,0,40,0
57,1,14,12,2,2,0,40,1
41,4,15,10,2,2,0,60,1
50,4,10,8,2,2,0,45,0
25,4,13,4,2,2,1,40,0
50,4,4,3,2,2,0,40,0
36,4,13,10,2,2,0,45,0
31,4,9,10,2,2,1,40,0
29,2,13,11,2,2,0,56,0
21,4,10,12,2,2,0,45,0
27,4,13,13,1,1,1,40,0
65,4,9,14,2,2,0,16,0
37,5,13,12,2,2,1,60,0
24,4,9,3,2,2,0,40,0
38,4,9,12,2,2,0,80,0
48,4,13,1,2,2,0,40,1
21,4,10,8,4,4,1,25,0
31,4,9,14,2,2,0,45,1
55,4,9,12,2,2,0,40,1
24,4,10,1,4,4,1,40,0
43,4,9,1,2,2,1,40,0
26,4,12,13,2,2,0,45,0
46,4,12,10,2,2,1,33,0
35,4,12,1,2,2,0,40,1
41,5,10,5,2,2,0,54,1
26,4,13,12,2,2,0,40,0
34,4,14,4,4,4,0,35,1
36,6,13,10,1,1,1,40,1
22,4,10,12,2,2,0,15,0
24,4,10,7,2,2,0,40,0
77,6,10,12,2,2,0,40,0
22,4,3,7,2,2,1,40,0
29,4,10,13,2,2,1,40,0
62,4,9,8,2,2,1,24,0
39,6,9,4,2,2,0,40,0
43,4,10,3,2,2,0,50,0
35,4,9,14,2,2,0,45,0
29,4,7,4,2,2,1,40,0
76,6,14,3,2,2,0,10,0
63,6,9,5,2,2,0,45,0
43,4,10,10,2,2,1,50,1
58,6,9,6,2,2,0,40,0
66,4,9,14,2,2,0,55,0
41,4,10,3,1,1,0,45,0
26,4,13,1,2,2,0,40,0
47,4,11,8,2,2,0,40,0
55,2,6,1,2,2,0,40,0
53,4,9,14,2,2,0,40,0
17,4,3,8,2,2,0,48,0
30,4,9,3,2,2,0,40,0
49,4,14,10,2,2,0,60,0
19,4,9,12,1,1,0,30,0
45,4,9,8,1,1,0,40,0
26,4,12,12,2,2,0,40,0
38,4,11,3,2,2,0,40,1
36,7,9,11,2,2,0,40,1
33,4,9,5,2,2,0,20,0
22,7,10,11,1,1,1,40,0
43,6,13,12,2,2,0,42,0
56,4,12,8,2,2,0,25,0
31,4,13,10,2,2,0,25,0
33,4,13,4,2,2,0,40,1
26,4,9,8,2,2,0,40,0
33,4,13,4,2,2,0,40,1
46,2,7,14,2,2,0,30,0
38,1,9,1,2,2,0,40,1
65,4,7,8,3,2,0,40,0
40,4,11,13,2,2,0,40,1
42,4,9,1,2,2,1,35,0
26,6,5,3,2,2,0,40,0
36,4,6,8,2,2,1,24,0
62,4,14,10,2,2,0,40,1
43,4,13,14,2,2,0,45,0
43,4,13,4,2,2,0,45,1
22,4,9,12,2,2,0,55,0
28,4,9,3,2,2,0,40,0
56,6,10,12,2,2,0,45,0
22,4,12,12,2,2,1,15,0
57,4,13,4,2,2,1,45,1
39,4,9,12,2,2,1,40,0
26,1,10,1,2,2,1,15,0
17,4,7,8,2,2,0,10,0
40,7,11,7,2,2,0,38,1
45,4,9,7,1,1,0,40,0
44,4,9,3,1,1,0,40,0
20,2,10,1,2,2,1,10,0
33,4,9,3,2,2,1,40,0
23,4,10,12,2,2,0,40,0
46,6,14,4,2,2,0,30,0
38,4,9,12,2,2,0,50,0
54,4,9,14,2,2,0,40,0
46,4,3,3,2,2,1,45,0
25,4,10,3,2,2,0,40,0
46,4,10,12,2,2,1,40,0
36,2,10,14,2,2,1,40,0
23,4,9,8,2,2,1,25,0
29,4,9,7,2,2,0,40,0
44,4,10,1,2,2,1,6,1
19,4,10,1,2,2,1,16,0
19,4,9,8,2,2,1,40,0
35,4,9,8,2,2,1,40,1
27,4,13,3,2,2,0,50,0
46,6,12,3,2,2,0,40,0
34,7,13,4,2,2,0,45,1
34,4,9,8,2,2,1,35,0
44,4,10,13,2,2,0,40,0
45,4,10,6,2,2,1,40,0
25,4,13,4,2,2,0,55,1
52,5,13,4,2,2,0,50,1
20,4,10,6,2,2,0,40,0
28,4,10,8,2,2,1,40,0
50,7,13,11,2,2,0,40,1
34,4,11,13,2,2,1,64,0
28,4,4,6,3,2,0,40,0
41,4,14,4,2,2,0,65,1
28,4,9,1,2,2,0,40,0
46,6,9,3,2,2,0,25,0
32,4,10,4,2,2,0,50,0
41,2,10,8,1,1,1,24,0
24,4,9,6,1,1,1,40,0
33,4,10,4,2,2,1,40,0
46,4,16,4,2,2,0,60,1
31,7,10,7,2,2,0,40,0
35,4,8,3,2,2,0,50,1
52,4,2,7,2,2,0,40,0
30,4,7,8,2,2,1,19,0
34,2,7,7,1,1,0,40,0
34,7,9,14,2,2,1,40,0
20,4,10,12,2,2,0,30,0
17,4,7,6,2,2,0,18,0
32,7,13,4,2,2,1,40,1
29,4,9,5,2,2,0,40,0
33,4,6,3,2,2,1,35,0
25,4,9,14,2,2,0,60,0
36,1,14,10,2,2,0,40,0
23,4,9,6,2,2,0,72,0
63,5,9,4,2,2,0,40,1
47,2,14,10,2,2,0,40,0
40,6,13,10,2,2,1,40,0
30,4,12,8,2,2,1,25,1
27,4,10,3,4,4,0,40,0
33,4,14,10,2,2,0,50,1
34,2,9,5,1,1,0,60,0
34,2,10,11,2,2,1,40,0
23,4,10,1,2,2,0,40,0
42,2,10,1,2,2,1,40,0
29,4,13,10,2,2,0,40,0
45,4,9,1,2,2,1,28,0
24,1,9,2,2,2,0,40,0
44,4,10,10,2,2,0,40,1
27,4,5,3,2,2,0,40,0
20,4,10,12,2,2,0,35,0
44,4,9,4,1,1,1,40,0
51,4,9,3,3,3,0,40,0
20,4,9,7,2,2,0,40,0
19,4,9,7,1,1,1,40,0
45,5,10,3,2,2,0,55,1
60,4,9,3,2,2,0,40,1
42,4,12,4,1,1,0,40,1
44,6,9,12,2,2,1,40,1
40,4,11,7,4,4,0,40,1
30,4,9,4,2,2,1,40,0
38,4,10,14,1,1,0,50,0
23,4,9,14,2,2,0,60,0
44,4,12,5,2,2,0,40,0
54,2,9,14,1,1,0,40,0
32,4,13,10,2,2,0,50,0
50,4,2,3,2,2,0,40,0
24,4,13,13,2,2,1,20,0
37,4,9,1,2,2,1,60,0
52,4,9,14,2,2,0,40,0
38,4,10,14,2,2,0,40,0
49,4,14,4,2,2,0,45,1
30,4,13,13,2,2,1,16,1
60,4,10,10,2,2,0,40,1
35,4,9,3,2,2,0,40,0
30,4,9,14,2,2,0,60,0
67,4,11,8,2,2,1,24,0
46,4,13,3,2,2,1,40,0
17,4,5,8,2,2,0,6,0
22,4,10,6,2,2,0,30,0
27,4,6,8,2,2,0,40,0
23,4,9,8,2,2,1,35,0
33,4,12,3,2,2,0,45,0
43,6,10,3,2,2,0,20,0
28,7,13,10,2,2,0,20,0
41,4,9,3,2,2,1,40,0
25,4,10,1,1,1,1,20,0
59,2,9,14,2,2,0,45,0
45,2,13,10,2,2,1,40,0
38,4,13,12,2,2,0,60,1
40,4,9,8,2,2,1,35,0
46,1,9,1,2,2,0,40,0
35,4,12,4,2,2,1,60,0
34,4,9,10,2,2,1,25,0
33,4,13,3,2,2,0,20,0
41,4,9,1,2,2,1,36,0
20,4,10,7,2,2,0,40,0
23,4,3,8,2,2,0,40,0
26,4,10,10,2,2,1,35,0
23,2,9,5,2,2,0,40,0
62,2,9,14,2,2,0,40,0
52,4,10,1,2,2,0,40,0
58,4,10,8,2,2,1,42,0
25,4,13,12,2,2,1,40,0
24,4,13,4,1,1,0,40,0
19,4,10,11,2,2,0,8,0
43,4,10,4,2,2,0,40,0
47,2,9,1,1,1,1,40,0
39,4,9,8,2,2,1,40,0
49,4,11,6,2,2,0,42,0
32,4,11,3,2,2,0,45,0
34,4,10,10,2,2,0,50,1
28,4,9,3,2,2,0,45,0
25,4,10,1,3,3,1,20,0
34,4,13,10,2,2,0,50,1
38,5,13,4,2,2,0,80,1
50,4,9,4,2,2,0,50,1
24,2,10,6,1,1,0,50,0
37,2,10,13,2,2,0,45,1
44,4,10,7,2,2,0,58,1
28,4,10,12,2,2,1,40,0
42,4,13,4,2,2,0,40,1
74,4,10,1,2,2,1,9,0
38,6,9,3,2,2,0,50,0
44,6,14,10,2,2,0,40,0
44,4,7,7,3,2,1,46,0
26,4,9,7,2,2,0,40,0
36,4,9,8,1,1,0,40,0
41,4,12,4,2,2,1,50,1
67,4,15,10,2,2,0,48,1
39,2,8,13,2,2,0,50,0
57,4,2,9,1,1,1,30,0
29,4,11,3,2,2,0,40,0
31,5,13,5,2,2,1,45,0
44,4,10,14,2,2,0,40,0
29,4,16,10,2,2,0,40,0
30,4,10,6,2,2,1,40,0
27,4,9,14,2,2,0,40,0
27,4,10,12,2,2,0,50,0
32,4,9,6,2,2,1,45,0
58,4,6,8,2,2,1,8,0
35,2,10,11,2,2,0,40,0
21,4,9,6,2,2,0,36,0
28,4,10,3,2,2,0,40,0
46,6,10,4,2,2,0,50,0
36,6,9,8,2,2,1,40,0
72,4,7,1,2,2,1,40,0
35,4,9,7,1,1,1,40,0
33,1,11,3,1,1,1,40,1
69,4,7,7,2,2,1,40,0
35,4,9,7,2,2,0,40,0
31,4,9,1,2,2,1,20,0
34,4,9,13,2,2,1,32,0
30,4,7,8,2,2,0,40,0
28,4,13,14,2,2,0,55,0
54,4,13,12,2,2,0,35,1
47,4,10,10,2,2,0,50,1
24,4,9,6,1,1,1,40,0
52,6,13,10,2,2,0,60,1
20,4,9,6,3,3,0,48,0
43,5,14,4,2,2,0,45,0
45,4,4,8,2,2,1,40,0
29,6,9,3,2,2,0,35,0
47,4,14,4,2,2,0,42,0
24,4,9,3,2,2,0,40,0
51,4,9,10,2,2,0,40,0
17,4,7,12,2,2,0,12,0
37,4,11,3,2,2,0,40,1
27,4,16,10,2,2,1,70,0
29,4,13,4,2,2,0,40,1
36,6,12,12,2,2,1,35,0
58,2,13,10,2,2,1,40,0
26,6,10,3,2,2,0,45,0
57,4,9,12,2,2,0,40,1
59,4,9,3,2,2,0,40,0
27,4,9,7,2,2,0,40,0
31,6,13,13,2,2,0,40,0
21,4,10,12,2,2,1,24,0
29,4,10,1,2,2,0,60,0
18,4,7,8,2,2,0,40,0
52,4,6,3,2,2,0,47,1
57,5,13,10,2,2,0,80,0
60,4,4,14,2,2,0,48,1
31,4,13,10,2,2,0,40,1
23,4,13,1,2,2,1,40,0
27,4,9,12,2,2,0,40,0
42,6,15,10,2,2,0,50,1
25,4,10,13,2,2,0,40,0
49,4,13,10,2,2,1,45,0
32,4,13,13,2,2,0,40,0
19,4,10,1,2,2,0,28,0
60,4,4,8,2,2,1,40,0
42,2,5,8,2,2,0,40,0
35,6,12,5,2,2,0,40,0
48,4,9,1,1,1,1,37,0
51,4,14,3,2,2,0,40,1
29,4,9,3,3,3,0,40,0
36,2,9,4,1,1,0,40,0
17,4,6,8,2,2,1,21,0
52,4,14,10,2,2,1,60,0
24,4,9,3,2,2,0,40,0
24,4,9,6,2,2,0,50,0
26,2,13,10,2,2,0,40,0
27,4,13,8,2,2,1,20,0
39,4,9,6,2,2,0,60,0
30,4,9,14,1,1,0,45,0
50,6,9,4,2,2,0,32,0
52,5,13,12,2,2,0,55,0
46,4,15,10,2,2,0,45,1
23,4,13,12,2,2,1,20,0
45,4,7,8,1,1,1,20,0
65,4,5,9,1,1,1,24,0
29,4,11,14,2,2,0,55,0
47,4,5,6,2,2,0,40,0
30,4,9,5,1,1,0,60,0
34,4,9,12,2,2,0,45,1
38,6,9,12,2,2,0,64,0
33,4,10,4,2,2,0,40,1
49,4,13,12,2,2,0,26,1
47,6,10,8,1,1,1,40,0
49,2,6,8,1,1,1,40,0
43,4,10,3,2,2,0,60,1
30,4,13,1,1,1,1,40,1
58,6,9,3,2,2,0,60,0
19,4,9,8,2,2,1,14,0
21,4,13,6,2,2,0,40,0
33,4,13,4,2,2,0,60,1
47,5,3,14,2,2,0,50,0
52,6,16,10,2,2,0,60,1
26,4,9,3,2,2,0,55,0
60,4,9,3,2,2,0,40,0
21,4,10,6,2,2,0,40,0
36,4,10,12,2,2,0,50,1
31,4,10,3,2,2,0,45,0
50,5,16,10,2,2,0,40,1
31,2,9,1,2,2,1,40,0
71,4,9,3,2,2,0,15,0
30,7,13,13,2,2,0,40,1
20,4,10,8,2,2,0,20,0
24,4,9,4,2,2,0,50,0
35,4,16,10,4,4,0,40,1
38,7,10,4,2,2,1,45,0
27,4,9,7,2,2,1,32,0
29,7,10,1,4,4,1,40,0
34,4,9,3,2,2,0,45,0
44,4,4,3,2,2,0,35,0
43,4,9,7,2,2,0,40,1
44,6,8,6,1,1,0,40,1
35,4,14,12,2,2,0,60,0
27,4,10,10,2,2,0,40,0
43,2,14,10,2,2,0,38,0
20,4,10,12,2,2,1,25,0
42,4,12,10,2,2,1,40,1
27,7,10,14,2,2,0,40,0
42,4,9,3,1,1,0,40,1
24,4,5,7,2,2,0,40,0
48,1,10,4,2,2,0,40,0
17,6,7,5,2,2,0,10,0
33,4,13,4,2,2,0,40,1
50,5,9,12,2,2,0,50,1
22,4,9,12,2,2,1,40,0
17,4,8,8,2,2,0,16,0
32,4,10,1,2,2,0,40,0
31,4,9,3,2,2,0,45,0
58,6,9,4,2,2,0,50,0
29,2,9,11,2,2,0,48,0
37,4,11,3,2,2,0,40,1
34,6,9,3,2,2,0,40,1
23,2,10,4,1,1,0,40,0
18,7,7,1,2,2,1,5,0
34,4,9,4,2,2,1,40,0
45,2,13,10,2,2,1,55,0
41,4,14,4,2,2,0,35,0
26,4,9,8,2,2,0,30,0
54,2,10,5,2,2,0,40,0
24,4,10,7,1,1,1,45,0
42,4,10,10,2,2,0,50,0
20,4,10,10,2,2,0,20,0
23,7,13,13,2,2,1,20,0
35,4,14,10,2,2,0,60,1
31,4,14,13,2,2,0,40,1
30,4,13,10,2,2,1,40,0
19,4,9,12,2,2,1,20,0
36,2,13,10,2,2,0,50,0
31,4,13,12,2,2,1,40,0
21,4,10,6,2,2,0,30,0
31,6,10,3,2,2,0,40,0
46,4,16,10,2,2,1,65,1
44,4,13,4,2,2,1,50,1
40,4,8,8,1,1,0,40,0
45,4,10,12,1,1,0,40,0
60,4,9,3,2,2,0,35,0
18,4,7,8,2,2,0,25,0
28,4,13,10,2,2,0,40,0
36,4,10,1,1,1,1,40,0
36,4,13,10,2,2,0,40,0
40,4,11,13,2,2,0,40,0
36,2,13,1,2,2,1,35,0
31,4,9,8,1,1,1,40,0
33,4,9,7,2,2,0,40,0
19,7,9,13,2,2,1,40,0
22,4,10,12,2,2,1,15,0
34,4,13,4,2,2,0,45,1
33,4,9,8,2,2,0,40,0
41,4,9,3,2,2,0,60,0
29,4,13,10,2,2,0,40,0
50,2,9,4,2,2,0,42,1
42,4,13,4,2,2,0,45,1
43,4,13,10,2,2,0,40,1
44,4,9,12,2,2,1,40,0
20,4,10,8,2,2,1,20,0
31,4,9,8,2,2,0,40,0
65,6,7,4,2,2,0,59,1
23,4,10,8,2,2,1,24,0
55,4,10,1,4,4,1,40,0
26,4,11,1,2,2,0,45,0
25,4,11,8,2,2,1,15,0
35,4,10,3,2,2,0,40,0
36,4,10,12,1,1,1,36,0
43,7,13,10,2,2,0,50,0
56,4,9,8,1,1,1,20,0
42,4,13,13,2,2,0,40,1
19,4,10,8,2,2,1,25,0
55,6,9,14,2,2,0,72,0
42,4,14,4,2,2,1,50,1
26,4,11,13,2,2,0,40,0
17,4,8,6,2,2,0,20,0
42,2,13,10,2,2,1,40,1
55,4,9,14,2,2,0,40,1
32,4,10,1,1,1,1,40,0
29,4,7,3,1,1,0,40,0
46,7,13,10,2,2,0,37,0
29,7,13,4,2,2,0,40,1
22,4,13,10,2,2,0,20,0
58,6,6,3,2,2,0,40,0
23,4,9,14,2,2,0,50,0
39,4,9,6,2,2,0,40,0
27,4,11,3,2,2,0,38,0
54,4,9,14,2,2,0,40,1
33,2,13,10,2,2,1,45,0
46,1,9,1,2,2,1,40,1
37,4,9,5,1,1,0,40,0
36,4,9,8,2,2,1,18,0
59,2,9,1,2,2,1,38,1
34,2,9,11,2,2,0,40,0
53,5,16,4,2,2,0,70,1
51,4,13,12,2,2,0,55,1
32,4,6,8,2,2,1,42,0
31,7,10,8,2,2,0,40,0
22,4,10,12,2,2,1,30,0
47,6,13,12,2,2,1,50,0
32,4,9,7,2,2,0,40,0
26,4,10,5,2,2,1,38,0
37,4,3,5,2,2,0,32,0
31,4,9,3,2,2,0,55,0
37,4,11,13,2,2,1,24,1
55,4,9,12,2,2,0,38,0
23,2,11,13,2,2,0,56,0
36,4,10,1,2,2,1,40,0
34,4,14,10,2,2,0,40,0
43,4,13,12,2,2,0,50,1
54,4,10,13,2,2,0,40,0
43,7,10,3,2,2,0,40,0
28,4,11,7,2,2,1,42,0
40,4,11,4,2,2,0,50,1
41,6,10,4,2,2,0,60,0
40,4,13,12,3,2,1,55,1
42,4,10,1,1,1,1,38,0
61,6,9,5,2,2,0,50,0
18,4,8,7,2,2,0,30,0
48,4,11,13,2,2,0,50,1
41,5,13,13,2,2,0,40,0
23,4,9,12,2,2,1,40,0
60,4,9,14,2,2,0,60,1
22,4,10,8,1,1,0,20,0
61,4,9,7,2,2,0,40,0
25,4,9,7,1,1,0,40,0
46,4,14,13,2,2,0,35,1
43,4,13,4,2,2,0,40,1
43,4,12,3,2,2,0,40,0
24,4,9,8,1,1,0,30,0
68,6,7,5,2,2,0,20,0
31,4,9,1,2,2,1,38,0
17,4,7,12,2,2,1,20,0
32,4,9,3,2,2,0,48,1
33,4,13,10,2,2,0,47,1
64,4,13,10,2,2,0,40,1
20,4,9,14,2,2,0,30,0
30,4,9,8,2,2,1,36,0
43,4,10,4,2,2,0,45,0
22,4,10,1,2,2,0,40,0
17,4,6,5,2,2,0,20,0
47,6,9,8,2,2,1,75,0
41,4,11,10,2,2,1,60,0
56,4,10,3,2,2,0,50,1
64,4,9,14,2,2,0,45,0
47,4,9,14,2,2,0,50,1
48,4,11,1,2,2,0,40,0
31,4,14,10,2,2,1,46,0
29,4,11,13,2,2,0,40,0
30,4,9,1,2,2,1,40,0
32,4,9,4,2,2,0,60,0
57,4,9,14,2,2,0,42,1
